Eating Action1,0.018772,9.511258,0.641213,0.569767,0.572325,0.055046,0.018131,8.486731,0.612166,0.538416,0.540622,0.049689,0.039710,0.281936,0.133402,0.097617,0.098537,0.013682,0.005402,12.244566,0.695677,0.648758,0.649375,0.028812,0.004355,13.203319,0.720156,0.673826,0.674319,0.026244,0.015664,16.122056,0.837824,0.742737,0.745133,0.060804,0.011038,13.574324,0.774290,0.682309,0.683727,0.044827,0.040823,3.264169,0.439084,0.331999,0.335282,0.047663,0.029611,4.101649,0.469261,0.373485,0.375840,0.042781,0.036765,4.455497,0.487762,0.388482,0.391717,0.051156,0.042334,8.314323,0.676084,0.530427,0.535103,0.071881,0.032275,10.808771,0.786478,0.606164,0.610115,0.070597,0.014743,7.529385,0.597021,0.507834,0.509218,0.038203,0.058054,3.022004,0.412310,0.318497,0.322605,0.052261,0.029737,9.967757,0.696269,0.582451,0.585899,0.064629,0.002579,8.812703,0.610009,0.550695,0.550907,0.015561,0.009162,11.134411,0.651620,0.618276,0.619238,0.035131,0.045053,5.470538,0.574133,0.429943,0.434049,0.060655,
Eating Action2,0.015225,12.988449,0.860194,0.783126,0.785462,0.062118,0.005925,7.106507,0.618831,0.580444,0.580998,0.026035,0.068188,0.319729,0.170811,0.120989,0.123236,0.024036,0.004671,11.234720,0.766566,0.729932,0.730513,0.029894,0.003613,9.762513,0.722918,0.680602,0.680969,0.022954,0.009392,13.253482,0.874625,0.792057,0.793436,0.047971,0.007498,10.000115,0.734866,0.688379,0.689206,0.034629,0.028750,2.553110,0.406957,0.346112,0.348242,0.039460,0.035437,2.829448,0.469587,0.363914,0.366604,0.045488,0.029375,3.181661,0.473630,0.386375,0.388753,0.044047,0.071006,6.453398,0.671024,0.545114,0.553657,0.099402,0.066971,7.963444,0.853987,0.606314,0.615031,0.105867,0.047246,5.336962,0.729324,0.498717,0.503493,0.070985,0.052004,2.484885,0.470061,0.339888,0.343558,0.051383,0.033967,7.065678,0.652049,0.575568,0.579327,0.067600,0.001026,6.438296,0.569499,0.552935,0.553009,0.009256,0.005802,8.311155,0.688411,0.627767,0.628315,0.026919,0.098750,4.260880,0.677963,0.439873,0.449880,0.096811,
Eating Action3,0.022947,12.752782,0.737025,0.671130,0.674412,0.067718,0.012679,8.720227,0.612198,0.556006,0.557682,0.044029,0.298606,0.287147,0.212487,0.088401,0.101199,0.050197,0.031549,14.425424,0.807105,0.711838,0.717277,0.089846,0.007923,12.739104,0.743217,0.673162,0.674050,0.035259,0.019790,17.105891,0.870032,0.778007,0.781080,0.070544,0.015397,14.051188,0.775521,0.705598,0.707912,0.058290,0.073249,4.013244,0.538881,0.370087,0.378330,0.080038,0.067031,4.890207,0.619411,0.409823,0.417625,0.081877,0.041826,3.844296,0.432083,0.366868,0.370281,0.051113,0.042817,8.048038,0.764925,0.531121,0.535757,0.071670,0.014096,10.350940,0.700642,0.606035,0.607593,0.044308,0.005373,6.925880,0.548718,0.496575,0.497005,0.021055,0.034900,3.132136,0.423075,0.331895,0.334228,0.040178,0.005911,9.693676,0.621793,0.587417,0.587986,0.026365,0.000674,8.445742,0.566943,0.548786,0.548835,0.007465,0.002336,10.592632,0.648742,0.614436,0.614646,0.016366,0.026364,4.816607,0.502428,0.412385,0.414470,0.042313,
Eating Action4,0.010030,5.910531,0.574190,0.516843,0.517737,0.031156,0.015974,5.371896,0.536404,0.492047,0.493582,0.039865,0.132484,0.039215,0.064955,0.040588,0.042172,0.011731,0.003945,10.326952,0.724623,0.683906,0.684356,0.025415,0.008026,10.188478,0.744677,0.678864,0.679752,0.035586,0.007280,12.521679,0.822471,0.752670,0.753576,0.037843,0.007793,11.519720,0.804888,0.721906,0.722798,0.036782,0.020127,2.459559,0.381588,0.332664,0.333983,0.030382,0.038571,3.287769,0.497661,0.383184,0.386141,0.048878,0.019828,3.165004,0.462454,0.377481,0.378864,0.033134,0.013232,6.041181,0.598097,0.522263,0.523428,0.035755,0.048146,7.557057,0.710305,0.579872,0.585426,0.082434,0.011401,5.555920,0.623801,0.501036,0.501965,0.031282,0.085075,2.513569,0.403531,0.331505,0.337630,0.065602,0.020669,7.528777,0.626211,0.582201,0.584330,0.051060,0.010237,6.959759,0.686389,0.560894,0.561814,0.032944,0.005411,8.373126,0.662560,0.615710,0.616225,0.025822,0.009907,3.761259,0.480591,0.412351,0.413012,0.023923,
Eating Action5,0.041172,4.325321,0.553222,0.460528,0.464400,0.061484,0.012729,5.794265,0.581937,0.536174,0.537504,0.038825,0.242143,0.422719,0.277778,0.134275,0.145181,0.056718,0.051500,6.871121,0.655004,0.578655,0.585324,0.090524,0.008375,8.641820,0.712078,0.655540,0.656425,0.035008,0.017854,9.716747,0.788640,0.693662,0.696054,0.059242,0.024295,8.819232,0.720416,0.660103,0.663129,0.065010,0.099916,3.638595,0.565628,0.414182,0.425941,0.102118,0.071524,4.120041,0.608851,0.444915,0.453245,0.088870,0.019884,2.674976,0.442338,0.363937,0.365210,0.031298,0.006188,5.577033,0.570873,0.526838,0.527332,0.023450,0.014483,7.174707,0.661349,0.596702,0.598115,0.042209,0.005111,5.120084,0.548660,0.504897,0.505267,0.019869,0.076093,2.217148,0.416965,0.326927,0.332491,0.062233,0.009117,7.115364,0.638954,0.594797,0.595636,0.032484,0.000555,6.109254,0.570494,0.551884,0.551921,0.006523,0.002947,7.683091,0.644778,0.618690,0.618943,0.018185,0.038276,3.697693,0.608085,0.426260,0.429386,0.053135,
Eating Action6,0.015158,11.066154,0.863813,0.740624,0.742816,0.058577,0.007833,9.500245,0.726942,0.687356,0.688256,0.036156,0.029125,0.179818,0.107559,0.094058,0.094689,0.011214,0.000731,13.980944,0.859298,0.834855,0.834932,0.011654,0.007153,9.119279,0.755676,0.673569,0.674315,0.032588,0.008950,11.479142,0.837549,0.755416,0.756550,0.042541,0.004251,11.664778,0.818874,0.762173,0.762642,0.027472,0.027153,2.302992,0.391821,0.336994,0.338867,0.036554,0.034861,2.783031,0.420891,0.369910,0.372513,0.045164,0.041701,2.888262,0.481541,0.375866,0.379491,0.053755,0.050834,5.574990,0.745762,0.521877,0.527236,0.077031,0.019712,6.706844,0.683310,0.576341,0.578285,0.048671,0.024240,5.062694,0.641991,0.500321,0.502428,0.047225,0.019233,2.232293,0.380293,0.332498,0.333625,0.028142,0.005293,6.948387,0.649455,0.588144,0.588606,0.023959,0.002428,6.157825,0.578533,0.553929,0.554110,0.014569,0.017679,8.051174,0.797978,0.631740,0.633596,0.049788,0.076502,4.378568,0.699285,0.459731,0.467249,0.085773,
Eating Action7,0.009635,9.916169,0.755071,0.669397,0.670606,0.041243,0.010838,7.790736,0.628426,0.593229,0.594408,0.038345,0.264813,0.016377,0.047462,0.024948,0.027253,0.011242,0.002985,15.076270,0.876601,0.826520,0.826880,0.025002,0.009562,10.244609,0.766432,0.680580,0.681622,0.038608,0.005137,13.385586,0.853761,0.778478,0.779138,0.032853,0.003904,13.183858,0.836053,0.772802,0.773245,0.026815,0.008290,2.436219,0.371644,0.331947,0.332395,0.017673,0.024835,2.963388,0.418324,0.364868,0.366598,0.036447,0.033384,3.402883,0.464003,0.389851,0.392843,0.049591,0.013905,5.769318,0.597692,0.510281,0.511514,0.036375,0.032633,7.667134,0.690478,0.586141,0.589674,0.066046,0.014548,5.707633,0.598740,0.507520,0.508773,0.036559,0.023019,2.508141,0.419670,0.335835,0.337265,0.031794,0.006605,7.713200,0.644256,0.590849,0.591443,0.027162,0.002887,6.612413,0.579804,0.547394,0.547615,0.015975,0.011864,8.380059,0.694122,0.615222,0.616480,0.040336,0.034316,3.900800,0.524939,0.417839,0.420603,0.049328,
Eating Action8,0.006589,3.889808,0.509858,0.463609,0.464061,0.021103,0.006366,4.986244,0.555204,0.524915,0.525409,0.023499,0.103321,0.059957,0.074726,0.056256,0.057614,0.012819,0.001273,8.047817,0.692563,0.667389,0.667498,0.012463,0.011464,8.370323,0.756515,0.679499,0.680741,0.042378,0.005714,9.227975,0.769515,0.714149,0.714767,0.030633,0.002999,9.315818,0.758370,0.717870,0.718161,0.021043,0.008928,1.988339,0.369132,0.331315,0.331785,0.018195,0.020414,2.847671,0.436313,0.395657,0.397060,0.034372,0.063989,2.578516,0.485664,0.372258,0.377830,0.066637,0.006891,4.842456,0.548067,0.517244,0.517778,0.024233,0.028608,5.991274,0.649532,0.573004,0.575931,0.059775,0.006839,4.359525,0.525361,0.490801,0.491282,0.022393,0.032939,1.991651,0.383489,0.330099,0.332061,0.037154,0.017386,6.179014,0.642458,0.583234,0.584885,0.045263,0.006565,5.273414,0.583157,0.539796,0.540327,0.024686,0.004717,6.696830,0.642985,0.608501,0.608900,0.022703,0.010478,3.009449,0.450000,0.407531,0.408183,0.023772,
Eating Action9,0.005070,4.159039,0.525490,0.493255,0.493653,0.020470,0.000831,6.246710,0.621095,0.604935,0.604994,0.008774,0.028584,0.220050,0.133834,0.112951,0.113550,0.012033,0.001772,7.227192,0.675058,0.650598,0.650744,0.014231,0.021716,7.447890,0.768854,0.658229,0.660606,0.057821,0.011047,7.317136,0.727988,0.653655,0.654781,0.039652,0.004958,8.621050,0.784033,0.710246,0.710732,0.027127,0.020820,1.981937,0.425783,0.339526,0.340777,0.030129,0.039280,2.899556,0.508334,0.409212,0.412184,0.051033,0.058395,2.602599,0.505058,0.385731,0.390507,0.062889,0.229166,4.175325,0.544420,0.466947,0.494619,0.168471,0.491111,6.414690,0.936671,0.516102,0.613075,0.341759,0.026251,4.475501,0.670462,0.509834,0.512090,0.049592,0.184511,2.170948,0.476678,0.340595,0.356657,0.109295,0.046956,6.872771,0.845887,0.629009,0.634588,0.086710,0.007267,5.433121,0.627756,0.563620,0.564222,0.026910,0.020117,6.351506,0.666315,0.608066,0.610048,0.050747,0.016559,2.787318,0.446622,0.403054,0.404128,0.030403,
Eating Action10,0.017518,9.005728,0.742315,0.685257,0.687403,0.055842,0.003184,9.916748,0.747240,0.720969,0.721334,0.023616,0.070987,0.273747,0.160761,0.117759,0.119847,0.022919,0.017203,12.540961,0.899153,0.808465,0.811180,0.068241,0.017483,8.193050,0.783324,0.653628,0.655654,0.053003,0.012805,9.694554,0.796020,0.711684,0.713207,0.047943,0.006319,11.336565,0.815152,0.770465,0.771246,0.035698,0.167439,3.382178,0.673279,0.399787,0.421260,0.136628,0.044288,3.017199,0.470566,0.394349,0.397882,0.054440,0.071182,2.607815,0.503971,0.363471,0.369905,0.070685,0.029666,5.544362,0.667970,0.536451,0.539359,0.057549,0.014128,6.815909,0.678557,0.596624,0.598017,0.041985,0.007720,4.659054,0.559492,0.493844,0.494425,0.024660,0.020578,1.994065,0.386693,0.322313,0.323461,0.028016,0.030638,6.629457,0.651714,0.586638,0.589781,0.062575,0.007696,5.703978,0.592576,0.546429,0.547067,0.027188,0.008687,7.420874,0.688392,0.623157,0.623993,0.033219,0.041213,3.363015,0.547345,0.416847,0.420065,0.053396,
